player_name,realm_slug,region,profile_url,season,snapshot_at,score_all,score_dps,score_healer,score_tank,world_rank,region_rank,realm_rank,total_runs,timed_runs,untimed_runs,highest_timed_level,highest_untimed_level,most_common_key_level,most_common_key_count,best_run_dungeon,best_run_short_name,best_run_level,best_run_score,best_run_timed,best_run_completed_at,best_run_url
Abbiemage,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Abbiemage,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Aideen,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Aideen,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Aideên,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Aideên,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Aidreth,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Aidreth,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Akitype,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Akitype,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Aktais,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Aktais,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Aktakniv,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Aktakniv,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Alaskaa,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Alaskaa,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Alaski,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Alaski,current,2026-04-24T12:03:22.616Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Alexiamae,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Alexiamae,current,2026-04-24T12:03:22.616Z,2678.0,2678.0,0.0,0.0,1017766,354079,18140,14,14,0,10,null,10,14,Skyreach,SR,10,335.0,true,2026-04-21T20:20:46.000Z,https://raider.io/mythic-plus-runs/season-mn-1/15884877-10-skyreach
