encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,1,5.6,100.0,0.0,0.0,0,0,1,0,5.6,0.0
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,1,21.6,0.0,100.0,0.0,0,0,1,0,21.6,0.0
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,2,99.6,100.0,0.0,0.0,2,0,0,0,99.6,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,4,47.5,50.0,25.0,25.0,0,2,2,0,69.4,21.82
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,21,36.1,14.3,14.3,71.4,2,3,7,9,99.9,63.78
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,2,57.6,100.0,0.0,0.0,0,2,0,0,48.1,-9.5
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",4,Heroic,1,29.8,100.0,0.0,0.0,0,1,0,0,29.8,0.0
2683,Magmorax,"Aberrus, the Shadowed Crucible",4,Heroic,1,41.9,100.0,0.0,0.0,0,1,0,0,41.9,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,14,41.1,28.6,50.0,21.4,1,3,7,3,34.5,-6.7
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",4,Heroic,20,43.5,10.0,30.0,60.0,1,6,6,7,36.1,-7.43
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",4,Heroic,18,42.9,50.0,50.0,0.0,0,12,4,2,49.6,6.7
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",4,Heroic,2,12.4,100.0,0.0,0.0,0,0,1,1,12.4,0.0
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,4,11.5,100.0,0.0,0.0,0,0,2,2,11.5,0.0
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",4,Heroic,1,55.4,0.0,0.0,100.0,0,0,1,0,55.4,0.0
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",5,Mythic,179,48.6,89.9,10.1,0.0,8,58,77,36,65.2,16.61
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",5,Mythic,5,18.7,20.0,80.0,0.0,0,0,1,4,19.2,0.54
2683,Magmorax,"Aberrus, the Shadowed Crucible",5,Mythic,14,37.8,100.0,0.0,0.0,1,4,5,4,37.8,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",5,Mythic,215,51.4,40.5,40.0,19.5,17,69,52,77,48.0,-3.33
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,485,56.9,13.4,45.8,40.8,22,173,194,96,47.9,-8.99
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",5,Mythic,24,48.9,50.0,50.0,0.0,0,15,6,3,43.8,-5.13
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",5,Mythic,19,39.1,100.0,0.0,0.0,0,3,15,1,54.3,15.25
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,42,43.7,100.0,0.0,0.0,0,16,24,2,32.1,-11.63
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",5,Mythic,61,28.9,0.0,11.5,88.5,0,13,39,9,30.4,1.44
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",3,Normal,4,61.8,50.0,50.0,0.0,0,2,2,0,69.9,8.14
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",3,Normal,1,52.2,100.0,0.0,0.0,0,1,0,0,52.2,0.0
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,3,99.9,100.0,0.0,0.0,3,0,0,0,99.7,-0.18
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,1,4.3,0.0,0.0,100.0,0,0,0,1,4.3,0.0
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,36,48.1,36.1,25.0,38.9,1,14,4,17,25.4,-22.69
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",4,Heroic,7,40.4,28.6,71.4,0.0,0,3,2,2,26.6,-13.82
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",4,Heroic,1,22.6,100.0,0.0,0.0,0,0,1,0,22.6,0.0
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,5,52.8,100.0,0.0,0.0,1,3,1,0,56.4,3.6
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,40.3,58.8,41.2,0.0,0,6,6,5,43.9,3.67
2737,Volcoross,"Amirdrassil, the Dream's Hope",4,Heroic,6,32.5,100.0,0.0,0.0,1,2,3,0,36.8,4.22
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,47.5,47.1,29.4,23.5,0,7,6,4,0.1,-47.43
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,1,20.7,100.0,0.0,0.0,0,0,1,0,20.7,0.0
2824,Smolderon,"Amirdrassil, the Dream's Hope",4,Heroic,47,46.1,55.3,44.7,0.0,1,16,24,6,10.4,-35.75
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",5,Mythic,62,44.9,29.0,71.0,0.0,1,17,26,18,33.1,-11.74
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",5,Mythic,27,48.3,100.0,0.0,0.0,1,16,6,4,34.5,-13.81
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",5,Mythic,41,52.6,100.0,0.0,0.0,1,23,12,5,63.4,10.83
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,47,41.4,70.2,29.8,0.0,0,8,28,11,24.6,-16.81
2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,7,36.6,100.0,0.0,0.0,0,4,3,0,68.0,31.39
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,2,97.3,100.0,0.0,0.0,2,0,0,0,97.3,0.0
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",5,Mythic,3,64.5,33.3,66.7,0.0,1,1,1,0,99.8,35.36
2824,Smolderon,"Amirdrassil, the Dream's Hope",5,Mythic,260,62.2,60.4,39.6,0.0,14,127,87,32,51.6,-10.58
3043,Lord Incendius,Blackrock Depths,3,Normal,1,60.5,100.0,0.0,0.0,0,1,0,0,60.5,0.0
3044,Bael'Gar,Blackrock Depths,3,Normal,1,35.0,100.0,0.0,0.0,0,0,1,0,35.0,0.0
3045,General Angerforge,Blackrock Depths,3,Normal,1,100.0,100.0,0.0,0.0,0,1,0,0,100.0,0.0
3046,Golem Lord Argelmach,Blackrock Depths,3,Normal,2,0.0,100.0,0.0,0.0,0,1,1,0,0.0,0.0
3049,Emperor Dagran Thaurissan,Blackrock Depths,3,Normal,3,74.3,100.0,0.0,0.0,0,2,1,0,74.3,0.0
3042,Lord Roccor,Blackrock Depths,4,Heroic,2,62.0,100.0,0.0,0.0,0,2,0,0,62.0,0.0
