encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,best_wipe_pct,avg_wipe_pct,avg_last_phase,max_phase_reached,avg_wipe_duration_seconds,longest_wipe_seconds,first_wipe_date,latest_wipe_date,raid_nights_attempted,avg_wipe_pct_rounded
2639,Terros,Vault of the Incarnates,5,Mythic,33,4.97,52.43606060606061,0.0,0,215.3030303030303,436,2023-01-09,2023-03-06,7,52.4
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,17,2.2,43.7535294117647,1.588235294117647,3,204.76470588235293,459,2025-08-25,2025-09-01,2,43.8
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,4,Heroic,17,4.21,49.50235294117647,1.0,1,217.58823529411765,411,2022-03-08,2022-04-27,5,49.5
2922,Queen Ansurek,Nerub-ar Palace,3,Normal,14,12.3,33.63071428571429,1.7857142857142858,3,182.14285714285714,330,2024-09-11,2024-11-03,6,33.6
3011,Rik Reverb,Liberation of Undermine,3,Normal,3,10.96,27.616666666666664,1.3333333333333333,2,195.66666666666666,250,2025-03-05,2025-03-09,2,27.6
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,42,6.82,43.68380952380953,0.0,0,207.04761904761904,342,2023-07-19,2023-07-24,2,43.7
2922,Queen Ansurek,Nerub-ar Palace,5,Mythic,290,11.84,54.92344827586207,1.3482758620689654,3,175.38275862068966,463,2025-01-29,2025-03-03,10,54.9
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,4,Heroic,8,61.89,75.58624999999999,1.375,2,119.875,213,2022-03-14,2022-03-23,2,75.6
2921,The Silken Court,Nerub-ar Palace,4,Heroic,40,2.13,64.687,1.425,3,180.825,531,2024-09-17,2024-10-09,5,64.7
2902,Ulgrax the Devourer,Manaforge Omega,5,Mythic,1,98.58,98.58,1.0,1,57.0,57,2026-01-26,2026-01-26,1,98.6
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,4,0.01,51.6125,1.0,1,254.75,522,2021-09-02,2021-09-02,1,51.6
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,4,3.2,11.487499999999999,0.0,0,276.0,326,2023-05-15,2023-05-15,1,11.5
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,3,99.68,99.86333333333334,0.0,0,37.0,55,2023-11-15,2024-05-08,3,99.9
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,9,1.37,30.716666666666665,1.7777777777777777,2,368.1111111111111,514,2025-08-18,2025-08-31,2,30.7
2919,Broodtwister Ovi'nax,Nerub-ar Palace,3,Normal,1,99.69,99.69,0.0,0,48.0,48,2024-09-22,2024-09-22,1,99.7
2402,Sun King's Salvation,Castle Nathria,5,Mythic,44,27.48,56.71204545454545,0.0,0,153.38636363636363,313,2021-03-01,2021-03-31,4,56.7
2430,Painsmith Raznal,Sanctum of Domination,5,Mythic,220,5.57,53.89795454545454,2.036363636363636,3,216.1,469,2021-10-06,2021-11-01,8,53.9
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,17,0.65,60.89352941176471,1.0588235294117647,2,153.41176470588235,369,2025-03-10,2025-07-06,4,60.9
2412,The Council of Blood,Castle Nathria,4,Heroic,3,68.01,89.21,1.6666666666666667,3,150.0,408,2021-03-14,2021-03-28,2,89.2
3011,Rik Reverb,Liberation of Undermine,5,Mythic,51,4.14,44.620980392156866,1.4313725490196079,2,204.2549019607843,393,2025-03-31,2025-05-07,7,44.6
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,5,Mythic,52,4.21,50.23288461538462,1.3269230769230769,2,252.65384615384616,496,2023-01-16,2023-03-08,7,50.2
2435,Sylvanas Windrunner,Sanctum of Domination,4,Heroic,24,49.92,71.95833333333333,2.375,3,502.6666666666667,792,2021-08-04,2022-08-15,6,72.0
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,4,Heroic,10,30.42,58.326,0.0,0,151.9,262,2022-03-02,2022-04-06,3,58.3
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,5,28.24,52.754000000000005,0.0,0,141.0,255,2023-11-20,2023-12-10,3,52.8
2432,Remnant of Ner'zhul,Sanctum of Domination,5,Mythic,66,2.44,46.596818181818186,2.878787878787879,4,199.6060606060606,375,2021-08-30,2021-09-29,6,46.6
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,2,3.52,51.175,1.5,2,229.0,393,2025-03-23,2025-05-04,2,51.2
