encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,cumulative_kills
2418,Huntsman Altimor,Castle Nathria,3,Normal,2021-01-31,1
2383,Hungering Destroyer,Castle Nathria,3,Normal,2021-01-31,2
2405,Artificer Xy'mox,Castle Nathria,3,Normal,2021-01-31,3
2402,Sun King's Salvation,Castle Nathria,3,Normal,2021-01-31,4
2412,The Council of Blood,Castle Nathria,3,Normal,2021-01-31,5
2406,Lady Inerva Darkvein,Castle Nathria,3,Normal,2021-01-31,6
2417,Stone Legion Generals,Castle Nathria,3,Normal,2021-02-07,7
2407,Sire Denathrius,Castle Nathria,3,Normal,2021-02-07,8
2399,Sludgefist,Castle Nathria,3,Normal,2021-02-07,9
2398,Shriekwing,Castle Nathria,3,Normal,2021-02-07,10
1094,Malygos,Castle Nathria,3,Normal,2021-03-25,11
2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,2021-07-07,12
2432,Remnant of Ner'zhul,Sanctum of Domination,3,Normal,2021-07-07,13
2423,The Tarragrue,Sanctum of Domination,3,Normal,2021-07-07,14
2434,Soulrender Dormazain,Sanctum of Domination,3,Normal,2021-07-07,15
2429,The Nine,Sanctum of Domination,3,Normal,2021-07-07,16
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,2021-08-15,17
2431,Fatescribe Roh-Kalo,Sanctum of Domination,3,Normal,2021-08-15,18
2435,Sylvanas Windrunner,Sanctum of Domination,3,Normal,2021-08-15,19
2430,Painsmith Raznal,Sanctum of Domination,3,Normal,2021-08-15,20
2436,Guardian of the First Ones,Sanctum of Domination,3,Normal,2021-08-15,21
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,3,Normal,2022-03-06,22
2544,Prototype Pantheon,Sepulcher of the First Ones,3,Normal,2022-03-06,23
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,3,Normal,2022-03-06,24
2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2022-03-06,25
2553,Artificer Xy'mox,Sepulcher of the First Ones,3,Normal,2022-03-06,26
2543,Lords of Dread,Sepulcher of the First Ones,3,Normal,2022-03-13,27
2549,Rygelon,Sepulcher of the First Ones,3,Normal,2022-03-30,28
2546,Anduin Wrynn,Sepulcher of the First Ones,3,Normal,2022-03-30,29
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,3,Normal,2022-03-30,30
2537,The Jailer,Sepulcher of the First Ones,3,Normal,2022-03-30,31
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,3,Normal,2022-03-30,32
2607,Raszageth the Storm-Eater,Vault of the Incarnates,3,Normal,2023-01-01,33
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,34
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,35
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,36
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,37
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,38
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,39
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,40
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,41
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,42
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,43
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,44
2824,Smolderon,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,45
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,46
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,47
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,48
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,49
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,50
